Id;Name;Rarity;Fuse;Level;Attack;Defense;Delay;Faction1;Faction2;Faction3;Skill1;Skill2;Skill3;Skill4;Skill5
2;Acid Reaver;Epic;Quad;5;3;15;1;Chaos;Elemental;Premium;Invisibility,2;Pierce,3;Poison,4;;
3;Acidic Ooze;Epic;Dual;5;3;13;1;Chaos;Elemental;Premium;Invisibility,1;Pierce,2;Poison,3;;
4;Acidic Sludge;Epic;Single;5;3;9;1;Chaos;Elemental;Premium;Invisibility,1;Pierce,1;Poison,3;;
5;Acidic Spider;Rare;Single;4;3;9;3;Wyld;;Standard;Invisibility,1;Hex,1;Poison,1;;
6;Aegistone Druid;Rare;Quad;4;4;14;3;Wyld;;Standard;Heal All Wyld,3;Barrier Wyld,3;;;
7;Alabaster Sphinx;Legendary;Quad;6;6;20;3;Aether;;Premium;Barrier,5;Barrier,5;;;
8;Anarchy Golem;Rare;Quad;4;5;16;4;Chaos;;Premium;Vengance,4;Hex All,2;;;
9;Ancient Golem;Common;Quad;3;3;10;1;Wyld;;Standard;Empower,2;;;;
10;Ancient Manuscrpt;Rare;Quad;4;6;7;1;Aether;;Premium;Heal Aether,3;Scorch,2;;;
11;Ancient Scroll;Rare;Dual;4;5;5;1;Aether;;Premium;Heal Aether,3;Scorch,1;;;
12;Angelic Brawler;Common;Single;3;2;11;4;Aether;Angel;Standard;Vengance,2;;;;
13;Angelic Bruiser;Common;Dual;3;3;13;4;Aether;Angel;Standard;Armor, 1;Vengance,2;;;
14;Angelic Knight;Common;Single;3;2;4;1;Aether;Angel;Standard;Armor,1;;;;
15;Angelic Warrior;Common;Quad;3;3;14;4;Aether;Angel;Standard;Armor,2;Vengance,3;;;
16;Angler fiend;Common;Dual;3;3;10;3;Wyld;;Standard;Poison,2;;;;
17;Angler Fish;Common;Single;3;2;8;3;Wyld;;Standard;Poison,2;;;;
18;Angler Tyrant;Common;Quad;3;3;14;3;Wyld;;Standard;Poison,3;;;;
19;Anvil Lava slug;Rare;Dual;4;4;15;4;Chaos;;Standard;Scorch,2;Siphon,3;;;
20;Arcane Scroll;Rare;Single;4;5;3;1;Aether;;Premium;Heal Aether,1;Scorch,1;;;
21;Archive Curator;Rare;Quad;4;4;16;4;Aether;;Standard;Armor,3;Weaken,3;;;
22;Archive Guardian;Rare;Dual;4;3;14;4;Aether;;Standard;Armor,3;Weaken,2;;;
23;Archive Keeper;Rare;Single;4;2;11;4;Aether;;Standard;Armor,3;Weaken,1;;;
24;Ardent Paladin;Epic;Dual;5;4;15;3;Aether;Angel;Standard;Armor,3;Heal Aether,3;Barrier All Aether,1;;
25;Armored Eagle;Rare;Single;4;3;8;2;Aether;;Standard;Armor,2;Dualstrike every,5;;;
26;Armored Ogre;Legendary;Single;6;7;19;4;Chaos;;Premium;Vengance,3;Hex All,1;Pierce,2;;
27;Arms Champion;Rare;Quad;4;5;14;4;Aether;;Premium;Armor,2;Vengance,4;;;
28;Arms Enforcer;Rare;Single;4;3;10;4;Aether;;Premium;Armor,1;Vengance,2;;;
29;Arms Gladiator;Rare;Dual;4;4;12;4;Aether;;Premium;Armor,2;Vengance,2;;;
30;Artic Frog;Epic;Quad;5;9;21;3;Aether;Frog;Premium;Barrier All frog,3;Freeze every,4;Weaken All,2;;
31;Ascended Oracle;Rare;Quad;4;3;12;1;Aether;;Standard;Heal Aether,3;Barrier Aether,2;;;
32;Ash Bringer;Epic;Quad;5;4;16;2;Chaos;Elemental;Premium;Fervor elemental,3;Bolt,3;Scorch,2;;
33;Ashfrog;Rare;Dual;4;3;10;2;Chaos;Frog;Standard;Hex,2;Bolt,2;;;
34;Astral Pegasus;Common;Quad;3;2;10;0;Aether;;Standard;Heal Aether,1;;;;
35;Avatar of Clouds;Rare;Quad;4;2;13;2;Aether;Elemental;Standard;Empower Aether,4;;Freeze every,4;;
36;Avatar of Gold;Legendary;Quad;6;3;23;3;Wyld;Elemental;Premium;Armor,4;Empower All Elemental,4;Fervor elemental,3;;
37;Aven Skypiercer;Legendary;Single;6;3;12;2;Aether;;Premium;Armor,3;Bolt,1;Freeze every,5;;
38;Avenging Angel;Legendary;Single;6;4;7;1;Aether;Angel;Standard;Vengance,3;Dualstrike every,4;;;
39;Azure Sphinx;Legendary;Single;6;4;14;3;Aether;;Premium;Barrier,3;Barrier,3;;;
40;Battle turtle;Common;Quad;3;5;15;4;Wyld;;Standard;Invisibility,1;Armor,2;;;
41;Beacon Guardian;Epic;Dual;5;3;13;2;Aether;;Premium;Armor,3;Heal,4;Bolt,4;;
42;Beat of the Wyld;Legendary;Dual;6;4;16;2;Wyld;;Standard;Heal All Wyld,2;Empower All Wyld,2;;;
43;Bedlam Angel;Epic;Quad;5;7;15;2;Chaos;Angel;Standard;Vengance,3;Hex,3;Dualstrike,5;;
44;Bedrock Dragon;Legendary;Dual;6;6;23;3;Wyld;Dragon;Premium;Barrier All Dragon,3;Hex,4;Siphon,4;;
45;Beetle Breaker;Rare;Dual;4;3;12;3;Wyld;Frog;Premium;Fervor Frog,2;Siphon,1;;;
46;Beetle Enchanter;Rare;Quad;4;4;14;3;Wyld;Frog;Premium;Fevor Frog,3;Siphon,1;;;
47;Beetle Tamer;Rare;Single;4;3;10;3;Wyld;Frog;Premium;Fervor Forg,1;;;;
48;Black Knight;Legendary;Single;6;6;14;3;Chaos;Undead;Premium;Hex All,1;Pierce,3;Scorch,3;;
49;Blazekin Dragon;Legendary;Single;6;6;15;3;Chaos;Dragon;Standard;Bolt All,2;Pierce,4;Scorch,2;;
50;Blazen Dragon;Legendary;Dual;6;6;19;3;Chaos;Dragon;Standard;Bolt All,2;Pierce,5;Scorch,4;;
51;Blazen Spirit;Common;Quad;3;3;8;1;Chaos;;Standard;Bolt,2 ;;;;
52;Blazerage Dragon;Legendary;Quad;6;6;23;3;Chaos;Dragon;Standard;Bolt All,3;Pierce,7;Scorch,4;;
53;Blazing Aurora;Legendary;Quad;6;6;17;2;Aether;Elemental;Premium;Bolt,3;bolt,5;Scorch,3;;
54;Blazing Drake;Epic;Quad;5;3;14;1;Aether;Dragon;Premium;Barrier Dragon,3;Empower Dragon,2;Bolt,3;;
55;Blizzard Dragon;Legendary;Dual;6;7;24;4;Aether;Dragon;Premium;Freeze every,4;Freeze every,5;Weaken All,2;;
56;Blood Demon;Legendary;Single;6;5;13;2;Chaos;;Standard;Scorch,2;Siphon,3;;;
57;Bloodclaw Wraith;Rare;Quad;4;4;11;1;Chaos;Undead;Standard;Hex,2;Weaken,3;;;
58;Bolt Elemental;Rare;Quad;4;4;12;2;Aether;Elemental;Standard;bolt,5;;;;
59;Bomb Spirit;Epic;Single;5;0;8;1;Chaos;;Premium;Bolt,2;Bolt,2;Bolt,1;;
