Name;Hitpoints;Hero;Level;Card1;Card2;Card3;Card4;Card5;Card6;Card7;Card8;Card9;Card10;Card11;Card12;Card13;Card14;Card15
Acid Reaver;50;Lich;6;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver;Acid Reaver
Acidic Ooze;50;Lich;6;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze;Acidic Ooze
Acidic Sludge;50;Lich;6;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge;Acidic Sludge
Acidic Spider;50;Gorc;6;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider;Acidic Spider
Aegistone Druid;50;Gorc;6;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid;Aegistone Druid
Alabaster Sphinx;50;Samael;6;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx;Alabaster Sphinx
Anarchy Golem;50;Lich;6;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem;Anarchy Golem
Ancient Golem;50;Gorc;6;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem;Ancient Golem
Ancient Manuscrpt;50;Samael;6;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt;Ancient Manuscrpt
Ancient Scroll;50;Samael;6;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll;Ancient Scroll
Angelic Brawler;50;Samael;6;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler;Angelic Brawler
Angelic Bruiser;50;Samael;6;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser;Angelic Bruiser
Angelic Knight;50;Samael;6;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight;Angelic Knight
Angelic Warrior;50;Samael;6;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior;Angelic Warrior
Angler fiend;50;Gorc;6;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend;Angler fiend
Angler Fish;50;Gorc;6;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish;Angler Fish
Angler Tyrant;50;Gorc;6;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant;Angler Tyrant
Anvil Lava slug;50;Lich;6;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug;Anvil Lava slug
Arcane Scroll;50;Samael;6;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll;Arcane Scroll
Archive Curator;50;Samael;6;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator;Archive Curator
