Player	battles	wins	wins%	best%	worst%			
Brillant Radiance	461	460	99,78%	0,00%	0,00%	89,45211692		65,63%
heart of the Wyld	461	460	99,78%	0,00%	0,00%	89,45211692		0,272962259
Darkness Elemental	461	459	99,57%	0,00%	0,00%	89,3110865		
Rust Titan	461	459	99,57%	0,00%	0,00%	89,3110865		
Hekaton, Sky Scraper	461	458	99,35%	0,00%	0,00%	89,16188653		
Supreme frog Emperor	461	458	99,35%	0,00%	0,00%	89,16188653		
Treant Dictate	461	458	99,35%	0,00%	0,00%	89,16188653		
Deadlyhive Dragon	461	457	99,13%	0,00%	0,00%	89,01119382		
High Guardian	461	457	99,13%	0,00%	0,00%	89,01119382		
Supreme Knight Frog	461	457	99,13%	0,00%	0,00%	89,01119382		
Swift Raptor	461	457	99,13%	0,00%	0,00%	89,01119382		
Blazing Aurora	461	456	98,92%	0,00%	0,00%	88,86595366		
Ribbit Wayfare	461	456	98,92%	0,00%	0,00%	88,86595366		
Treant Edict	461	455	98,70%	0,00%	0,00%	88,7123289		
Furnace Breaker	461	454	98,48%	0,00%	0,00%	88,55719692		
Kraken of fears	461	454	98,48%	0,00%	0,00%	88,55719692		
Rhino Savage	461	454	98,48%	0,00%	0,00%	88,55719692		
Rust Colossus	461	454	98,48%	0,00%	0,00%	88,55719692		
Cerberus, the Gate	461	453	98,26%	0,00%	0,00%	88,40055311		
Coldbite Golem	461	453	98,26%	0,00%	0,00%	88,40055311		
Queen of the Swamp	461	453	98,26%	0,00%	0,00%	88,40055311		
Toxichive Dragon	461	453	98,26%	0,00%	0,00%	88,40055311		
Zhulong the Wise	461	453	98,26%	0,00%	0,00%	88,40055311		
Avatar of Gold	461	452	98,05%	0,00%	0,00%	88,24961506		
Beat of the Wyld	461	452	98,05%	0,00%	0,00%	88,24961506		
Fierce Skypiercer	461	452	98,05%	0,00%	0,00%	88,24961506		
Gloom elemental	461	452	98,05%	0,00%	0,00%	88,24961506		
Huntress Frog	461	452	98,05%	0,00%	0,00%	88,24961506		
Lightning Demigod	461	452	98,05%	0,00%	0,00%	88,24961506		
Mountain dragon	461	451	97,83%	0,00%	0,00%	88,09000356		
Opal Knight	461	451	97,83%	0,00%	0,00%	88,09000356		
Spirit of Insanity	461	449	97,40%	0,00%	0,00%	87,77362994		
Titan of Inferno	461	449	97,40%	0,00%	0,00%	87,77362994		
Twilight Specular	461	449	97,40%	0,00%	0,00%	87,77362994		
Platinum Champion	461	448	97,18%	0,00%	0,00%	87,60950267		
Sanguine Demon	461	448	97,18%	0,00%	0,00%	87,60950267		
Hekaton, Son of Earth	461	447	96,96%	0,00%	0,00%	87,4438395		
Sage Tsunamari	461	447	96,96%	0,00%	0,00%	87,4438395		
Treant King	461	447	96,96%	0,00%	0,00%	87,4438395		
Kraken of the depths	461	446	96,75%	0,00%	0,00%	87,28427048		
Lilypad Leaper	461	446	96,75%	0,00%	0,00%	87,28427048		
Swamp Ogre	461	445	96,53%	0,00%	0,00%	87,11559535		
Underwater Clobberer	461	445	96,53%	0,00%	0,00%	87,11559535		
Vindication Angel	461	445	96,53%	0,00%	0,00%	87,11559535		
Windtempest Giant	461	444	96,31%	0,00%	0,00%	86,94537443		
Clawkin Elite	461	442	95,88%	0,00%	0,00%	86,60819533		
Grand Frog emperor	461	442	95,88%	0,00%	0,00%	86,60819533		
king Garganotos	461	442	95,88%	0,00%	0,00%	86,60819533		
Wartusker	461	442	95,88%	0,00%	0,00%	86,60819533		
Wolf Queen	461	442	95,88%	0,00%	0,00%	86,60819533		
Frost Golem	461	441	95,66%	0,00%	0,00%	86,43339042		
Lightning Baron	461	441	95,66%	0,00%	0,00%	86,43339042		
Monstrous Squid	461	441	95,66%	0,00%	0,00%	86,43339042		
Charging Raptor	461	440	95,44%	0,00%	0,00%	86,25702886		
Shining Radiance	461	440	95,44%	0,00%	0,00%	86,25702886		
Bedrock Dragon	461	439	95,23%	0,00%	0,00%	86,08722949		
Brillant aurora	461	439	95,23%	0,00%	0,00%	86,08722949		
rhino Brute	461	439	95,23%	0,00%	0,00%	86,08722949		
Fowl Horde	461	437	94,79%	0,00%	0,00%	85,7268454		
Gravity Bender	461	437	94,79%	0,00%	0,00%	85,7268454		
Orobas Unleashed	461	437	94,79%	0,00%	0,00%	85,7268454		
Thousand arm Hellion	461	437	94,79%	0,00%	0,00%	85,7268454		
Zhulong the Cunning	461	437	94,79%	0,00%	0,00%	85,7268454		
Hemorrhage Demon	461	436	94,58%	0,00%	0,00%	85,55263837		
Honeycomb Dragon	461	436	94,58%	0,00%	0,00%	85,55263837		
Shadow Elemental	461	435	94,36%	0,00%	0,00%	85,36860514		
Stalker Frog	461	435	94,36%	0,00%	0,00%	85,36860514		
cerberus, the Sentry	461	434	94,14%	0,00%	0,00%	85,18300435		
Gold Incarnate	461	434	94,14%	0,00%	0,00%	85,18300435		
Rhythm of the Wyld	461	434	94,14%	0,00%	0,00%	85,18300435		
Stormcleaver Dragon	461	434	94,14%	0,00%	0,00%	85,18300435		
Blazerage Dragon	461	433	93,93%	0,00%	0,00%	85,00437655		
Hulking Squid	461	433	93,93%	0,00%	0,00%	85,00437655		
Kraken	461	433	93,93%	0,00%	0,00%	85,00437655		
Pondfist Shaman	461	433	93,93%	0,00%	0,00%	85,00437655		
Chaos Tempest	461	432	93,71%	0,00%	0,00%	84,8157086		
Duchess of the Swamp	461	432	93,71%	0,00%	0,00%	84,8157086		
Ravaging Dragon	461	432	93,71%	0,00%	0,00%	84,8157086		
Twilight Reflector	461	431	93,49%	0,00%	0,00%	84,62547012		
Citadel Spirit	461	430	93,28%	0,00%	0,00%	84,4424132		
Lightguard Archer	461	430	93,28%	0,00%	0,00%	84,4424132		
Noxious Bullfrog	461	430	93,28%	0,00%	0,00%	84,4424132		
Boneclaw Giant	461	429	93,06%	0,00%	0,00%	84,24910345		
Hekaton	461	429	93,06%	0,00%	0,00%	84,24910345		
Ivory Knight	461	428	92,84%	0,00%	0,00%	84,05422193		
Silver Wind Soul	461	428	92,84%	0,00%	0,00%	84,05422193		
Wasteland Warrior	461	428	92,84%	0,00%	0,00%	84,05422193		
canopy Terror	461	427	92,62%	0,00%	0,00%	83,85776863		
Genbu, the Stronghold	461	426	92,41%	0,00%	0,00%	83,66877894		
Ash Bringer	461	425	92,19%	0,00%	0,00%	83,46925424		
Mentor Tsunamari	461	425	92,19%	0,00%	0,00%	83,46925424		
Specter of Sap	461	425	92,19%	0,00%	0,00%	83,46925424		
Ice golem	461	424	91,97%	0,00%	0,00%	83,2681589		
Lightsworn Archer	461	424	91,97%	0,00%	0,00%	83,2681589		
Mercenary Ogre	461	424	91,97%	0,00%	0,00%	83,2681589		
Artic Frog	461	423	91,76%	0,00%	0,00%	83,07473982		
Blazing Drake	461	423	91,76%	0,00%	0,00%	83,07473982		
Furnace Smasher	461	423	91,76%	0,00%	0,00%	83,07473982		
Heoric Frog	461	423	91,76%	0,00%	0,00%	83,07473982		
Croak Impaler	461	422	91,54%	0,00%	0,00%	82,87057711		
High Knight Frog	461	422	91,54%	0,00%	0,00%	82,87057711		
Rust Goliath	461	422	91,54%	0,00%	0,00%	82,87057711		
Bedlam Angel	461	421	91,32%	0,00%	0,00%	82,66484674		
Frog Warmage	461	421	91,32%	0,00%	0,00%	82,66484674		
Platinum Armorer	461	421	91,32%	0,00%	0,00%	82,66484674		
essence Dragon	461	420	91,11%	0,00%	0,00%	82,46700666		
Majestic Guardian	461	420	91,11%	0,00%	0,00%	82,46700666		
Thousand Arm Fiend	461	420	91,11%	0,00%	0,00%	82,46700666		
great sage of croaks	461	419	90,89%	0,00%	0,00%	82,25821656		
Plague Locust	461	419	90,89%	0,00%	0,00%	82,25821656		
Radiant Paladin	461	419	90,89%	0,00%	0,00%	82,25821656		
Feather Skypiercer	461	418	90,67%	0,00%	0,00%	82,04786364		
Lumin Guardian	461	418	90,67%	0,00%	0,00%	82,04786364		
Cliffpass Champion	461	417	90,46%	0,00%	0,00%	81,84561624		
Mega Garganotos	461	417	90,46%	0,00%	0,00%	81,84561624		
Spirit of Dementia	461	415	90,02%	0,00%	0,00%	81,41725749		
Giant Squid	461	414	89,80%	0,00%	0,00%	81,20074673		
Alabaster Sphinx	461	412	89,37%	0,00%	0,00%	80,77309286		
Poliworg Barrage	461	412	89,37%	0,00%	0,00%	80,77309286		
Webfoot Marauder	461	410	88,94%	0,00%	0,00%	80,33954066		
Smelted Skeleton	461	409	88,72%	0,00%	0,00%	80,11545123		
Thunderhead Giant	461	409	88,72%	0,00%	0,00%	80,11545123		
Gravity Tide	461	408	88,50%	0,00%	0,00%	79,88982909		
Mighty Clawkin	461	408	88,50%	0,00%	0,00%	79,88982909		
Mire Ogre	461	408	88,50%	0,00%	0,00%	79,88982909		
Lightning Lord	461	407	88,29%	0,00%	0,00%	79,67303661		
Retribution Angel	461	407	88,29%	0,00%	0,00%	79,67303661		
Velied Dragon	461	407	88,29%	0,00%	0,00%	79,67303661		
Trapper Frog	461	406	88,07%	0,00%	0,00%	79,44443124		
Cerberus	461	405	87,85%	0,00%	0,00%	79,21430643		
Fowl Drove	461	403	87,42%	0,00%	0,00%	78,76014884		
Frog outrunner	461	402	87,20%	0,00%	0,00%	78,52556456		
Stormspawn Dragon	461	402	87,20%	0,00%	0,00%	78,52556456		
Glass Titan	461	401	86,98%	0,00%	0,00%	78,28948175		
Obsidian Knight	461	401	86,98%	0,00%	0,00%	78,28948175		
Olitusker	461	401	86,98%	0,00%	0,00%	78,28948175		
Orobas Ignited	461	401	86,98%	0,00%	0,00%	78,28948175		
Rock Dragon	461	400	86,77%	0,00%	0,00%	78,06273746		
Tsunamari	461	400	86,77%	0,00%	0,00%	78,06273746		
Tar Pit Swallower	461	399	86,55%	0,00%	0,00%	77,82374286		
Underwater Wallop	461	398	86,33%	0,00%	0,00%	77,58326771		
Rhino Beast	461	397	86,12%	0,00%	0,00%	77,35234814		
Wolf Matriarch	461	397	86,12%	0,00%	0,00%	77,35234814		
Duoshot Ranger	461	396	85,90%	0,00%	0,00%	77,10899832		
Castlerock Griffin	461	395	85,68%	0,00%	0,00%	76,86418797		
Beacon Guardian	461	394	85,47%	0,00%	0,00%	76,62914954		
Branding Engine	461	394	85,47%	0,00%	0,00%	76,62914954		
Devouring Dragon	461	394	85,47%	0,00%	0,00%	76,62914954		
Genbu, the garrison	461	394	85,47%	0,00%	0,00%	76,62914954		
Mountain Titan	461	393	85,25%	0,00%	0,00%	76,38150561		
Chaos Swell	461	392	85,03%	0,00%	0,00%	76,13242319		
Titan of Scorch	461	392	85,03%	0,00%	0,00%	76,13242319		
Sea Serpent	461	391	84,82%	0,00%	0,00%	75,89332806		
Vivid Aurora	461	390	84,60%	0,00%	0,00%	75,64145711		
Acid Reaver	461	389	84,38%	0,00%	0,00%	75,38817173		
Ancient Manuscrpt	461	389	84,38%	0,00%	0,00%	75,38817173		
Celestial Whale	461	388	84,16%	0,00%	0,00%	75,13348051		
Twilight Mirror	461	387	83,95%	0,00%	0,00%	74,88906286		
Entity Dragon	461	386	83,73%	0,00%	0,00%	74,6316496		
Frog Emperor	461	386	83,73%	0,00%	0,00%	74,6316496		
Ardent Paladin	461	385	83,51%	0,00%	0,00%	74,37285728		
Lady of the Swamp	461	385	83,51%	0,00%	0,00%	74,37285728		
Tormented Giant	461	385	83,51%	0,00%	0,00%	74,37285728		
Blazen Dragon	461	384	83,30%	0,00%	0,00%	74,12455051		
Blood Demon	461	384	83,30%	0,00%	0,00%	74,12455051		
Poliworg Blitz	461	383	83,08%	0,00%	0,00%	73,86309041		
Toxin Bullfrog	461	383	83,08%	0,00%	0,00%	73,86309041		
Storm Giant	461	382	82,86%	0,00%	0,00%	73,60028001		
Hailstone Dragon	461	381	82,65%	0,00%	0,00%	73,34816525		
Gravity Swell	461	380	82,43%	0,00%	0,00%	73,08274524		
Lurking Dragon	461	380	82,43%	0,00%	0,00%	73,08274524		
Spirit of Sap	461	380	82,43%	0,00%	0,00%	73,08274524		
Hired Ogre	461	379	82,21%	0,00%	0,00%	72,81600567		
Winged Raptor	461	379	82,21%	0,00%	0,00%	72,81600567		
Frozen Frog	461	378	82,00%	0,00%	0,00%	72,56016964		
Wasteland Wanderer	461	377	81,78%	0,00%	0,00%	72,29088247		
Glod elemental	461	376	81,56%	0,00%	0,00%	72,02030846		
Lantern Gloomkin	461	376	81,56%	0,00%	0,00%	72,02030846		
Furnace Mech	461	375	81,34%	0,00%	0,00%	71,74845911		
Spire Spirit	461	375	81,34%	0,00%	0,00%	71,74845911		
Aven Skypiercer	461	372	80,69%	0,00%	0,00%	70,93793161		
Glowfist Shaman	461	372	80,69%	0,00%	0,00%	70,93793161		
White Knight	461	372	80,69%	0,00%	0,00%	70,93793161		
Canopy Chiller	461	371	80,48%	0,00%	0,00%	70,67376307		
Purging Locust	461	371	80,48%	0,00%	0,00%	70,67376307		
Wizen Sage of Croaks	461	371	80,48%	0,00%	0,00%	70,67376307		
Garganotos	461	370	80,26%	0,00%	0,00%	70,39582724		
Radiance	461	369	80,04%	0,00%	0,00%	70,11668853		
Obsidiantail Dragon	461	368	79,83%	0,00%	0,00%	69,84912779		
Discordant Angel	461	367	79,61%	0,00%	0,00%	69,56767576		
Soul of Ash	461	366	79,39%	0,00%	0,00%	69,28505989		
Windsear Drake	461	366	79,39%	0,00%	0,00%	69,28505989		
Glass Goliath	461	365	79,18%	0,00%	0,00%	69,01421702		
Wolf Girl	461	364	78,96%	0,00%	0,00%	68,72936588		
Silver Wind Spirit	461	362	78,52%	0,00%	0,00%	68,15630882		
Stone Titan	461	362	78,52%	0,00%	0,00%	68,15630882		
Strom Dragon	461	362	78,52%	0,00%	0,00%	68,15630882		
Bolt Elemental	461	360	78,09%	0,00%	0,00%	67,59204575		
Marble Sphinx	461	360	78,09%	0,00%	0,00%	67,59204575		
Tusker	461	360	78,09%	0,00%	0,00%	67,59204575		
Master of Elements	461	357	77,44%	0,00%	0,00%	66,73139879		
Wevfoot Bombardier	461	357	77,44%	0,00%	0,00%	66,73139879		
Invisible Assassin	461	356	77,22%	0,00%	0,00%	66,43806486		
Acidic Ooze	461	354	76,79%	0,00%	0,00%	65,86184243		
Platinum Golem	461	354	76,79%	0,00%	0,00%	65,86184243		
Froglet Warmage	461	353	76,57%	0,00%	0,00%	65,56558424		
Frogling Army	461	352	76,36%	0,00%	0,00%	65,28189827		
Runelock Panther	461	350	75,92%	0,00%	0,00%	64,68474048		
Elemental Seer	461	349	75,70%	0,00%	0,00%	64,3847889		
Fowl Swarm	461	349	75,70%	0,00%	0,00%	64,3847889		
Soaring Whale	461	349	75,70%	0,00%	0,00%	64,3847889		
Cliffpass Apostle	461	348	75,49%	0,00%	0,00%	64,09763837		
